Marka;Nazwa GPSR;Adres;Email;Telefon;Produkty
"St. Majewski";"St. Majewski Sp. z o.o. Sp. k.";"ul. Kredkowa 1, 05-800 Pruszków, Polska";"st-majewski@st-majewski.pl";"+48 22 758 70 41";79
"Mega Creative";"Mega Creative Sp. z o.o.";"ul. Grunwaldzka 82, 03-118 Warszawa, Polska";"biuro@megacreative.pl";"+48 22 811 83 28";79
"Beniamin";"Beniamin Sp. z o.o. Sp. k.";"ul. Malborska 49, 03-286 Warszawa, Polska";"biuro@beniamin.pl";"+48 22 675 72 43";78
"Michalczyk i Prokop";"Michalczyk i Prokop Sp. z o.o.";"ul. Szkolna 5, 32-020 Wieliczka, Polska";"handlowy@mfrip.pl";"+48 12 278 19 00";77
"Donau";"DONAU Sp. z o.o.";"ul. Kolejowa 5/7, 01-217 Warszawa, Polska";"info@donau-brand.pl";"+48 22 632 83 00";76
"Euro-Trade";"Euro-Trade Sp. z o.o. Sp. k.";"ul. Łokietka 155, 31-263 Kraków, Polska";"biuro@euro-trade.pl";"";75
"Dante";"Dante Sp. z o.o.";"ul. Sarbinowska 6, 62-002 Suchy Las, Polska";"biuro@dante.com.pl";"+48 61 657 99 99";72
"KW TRADE SP Z O.O.";"KW Trade Sp. z o.o.";"ul. Maratońska 91, 94-007 Łódź, Polska";"biuro@kwtrade.pl";"+48 42 681 91 63";67
"BIC POLSKA SP. Z O.O";"BIC Polska Sp. z o.o.";"ul. Domaniewska 49, 02-672 Warszawa, Polska";"kontakt@bicworld.com";"+48 22 606 36 00";63
"WPC";"WPC Sp. z o.o.";"ul. Kolejowa 1, 05-092 Łomianki-Dąbrowa, Polska";"biuro@wpc.com.pl";"+48 22 751 24 52";63
"Cartamundi";"Cartamundi Polska Sp. z o.o.";"ul. Szarych Szeregów 26, 60-462 Kraków, Polska";"info@cartamundi.com";"+48 12 253 40 00";62
"Bantex";"Hamelin S.A.S.";"";"contact@hamelin.com";"+33 2 31 66 30 00";61
"ALIGA - KATARZYNA I PAWEŁ GAŁĄZKA SPÓŁKA JAWNA";"Aliga - Katarzyna i Paweł Gałązka Sp. j.";"ul. Słoneczna 4, 05-270 Marki, Polska";"biuro@aliga.pl";"+48 22 781 65 30";61
"Rystor";"Rystor Polska Sp. z o.o.";"ul. Słoneczna 21A, 86-031 Osielsko, Polska";"rystor@rystor.pl";"+48 787 097 435";60
"Stnux";"Stnux Sp. z o.o.";"ul. Aleje Jerozolimskie 200, 02-486 Warszawa, Polska";"kontakt@stnux.pl";"+48 22 243 84 50";60
"Zielona Sowa";"Grupo Zielona Sowa Sp. z o.o.";"ul. Reja 3, 80-404 Gdańsk, Polska";"biuro@zielonasowa.pl";"+48 58 340 53 53";59
"KOSTAS GROUP SP.Z O.O.";"Kostas Group Sp. z o.o.";"ul. Metalowa 3, 82-300 Elbląg, Polska";"biuro@kostasgroup.pl";"+48 55 236 39 00";58
"BIURFOL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Biurfol Sp. z o.o.";"ul. Metalowców 7, 37-450 Stalowa Wola, Polska";"biuro@biurfol.pl";"+48 15 844 20 40";57
"Pentel";"Pentel Europe GmbH";"Langenhorner Chaussee 400, 22419 Hamburg, Deutschland";"info@pentel.de";"+49 40 527 20 70";56
"TADEO TRADING SP. Z O.O.";"Tadeo Trading Sp. z o.o.";"ul. Nowogrodzka 31, 00-511 Warszawa, Polska";"biuro@tadeo.pl";"+48 22 625 61 10";56
"Herlitz";"Herlitz CBC GmbH & Co. KG";"Falkenseer Chaussee 36, 13583 Berlin, Deutschland";"info@herlitz.de";"+49 30 3390 0";52
"ALIGA";"Aliga - Katarzyna i Paweł Gałązka Sp. j.";"ul. Słoneczna 4, 05-270 Marki, Polska";"biuro@aliga.pl";"+48 22 781 65 30";52
"Adamigo";"Adamigo S.A.";"ul. Żniwna 10, 10-823 Olsztyn, Polska";"adamigo@adamigo.com.pl";"+48 89 533 48 07";51
"Aliga";"Aliga - Katarzyna i Paweł Gałązka Sp. j.";"ul. Słoneczna 4, 05-270 Marki, Polska";"biuro@aliga.pl";"+48 22 781 65 30";50
"Office Products";"PBS Connect Polska Sp. z o.o.";"ul. Kolejowa 54B, 01-210 Warszawa, Polska";"biuro@pbs-connect.pl";"+48 22 632 33 11";47
"Argo";"ARGO Spółka Akcyjna";"ul. Krynicka 1, 80-393 Gdańsk, Polska";"argo@argo.pl";"+48 58 554 36 00";46
"LEGO";"LEGO A/S";"";"kundeservice@lego.com";"+45 79 50 60 70";45
"Bburago";"Bburago (Maisto International Inc.)";"19850 Magellan Drive, Torrance, CA 90502, USA";"info@bfrburago.com";"";45
"Bestway";"Bestway Inflatables & Material Corp.";"2/F Commerical Bank Tower, No.1, Futian District, Shenzhen, China";"info@bestway-corp.com";"+86 755 8303 0160";44
"Party Deco";"PartyDeco Sp. z o.o.";"ul. Dębowa 6, 05-816 Michałowice, Polska";"biuro@partydeco.pl";"+48 22 723 43 27";44
"WYDAWNICTWO NIKO SP. Z O.O.";"Grupo Zielona Sowa Sp. z o.o.";"ul. Reja 3, 80-404 Gdańsk, Polska";"biuro@zielonasowa.pl";"+48 58 340 53 53";43
"NEWELL POLAND SERVICES SP. Z O.O.";"Newell Poland Services Sp. z o.o.";"ul. Inflancka 4C, 00-189 Warszawa, Polska";"info.poland@newellco.com";"+48 22 375 25 00";43
"Keyroad";"Keyroad Stationery Co., Ltd.";"Ningbo, Zhejiang, China";"info@keyroad.com";"";43
"PILOT";"Pilot Pen (Deutschland) GmbH";"Casterfeldstraße 35, 68199 Mannheim, Deutschland";"info@pilotpen.de";"+49 621 84 25 10";41
"Staedtler";"STAEDTLER Mars GmbH & Co. KG";"Moosaeckerstraße 3, 90427 Nürnberg, Deutschland";"info@staedtler.com";"+49 911 9365 0";41
"VAUPE SP. Z O.O.";"VAUPE Sp. z o.o.";"ul. Marszałkowska 3/5, 00-624 Warszawa, Polska";"vaupe@vaupe.pl";"+48 22 628 47 94";41
"DpCraft";"DpCraft Sp. z o.o.";"ul. Nowy Świat 33, 00-029 Warszawa, Polska";"biuro@dpcraft.pl";"";40
"M&G";"M&G Stationery Co., Ltd.";"Shanghai, China";"";"";38
"Faber-Castell";"Faber-Castell Aktiengesellschaft";"Nürnberger Straße 2, 90546 Stein, Deutschland";"info@faber-castell.de";"+49 911 9965 0";37
"TIERRA GROUP Sp. z o.o. Sp. K";"Titanum Sp. z o.o.";"ul. Garbarska 16, 20-340 Lublin, Polska";"biuro@titanum.pl";"+48 81 743 04 00";37
"Hipo";"Hipo Sp. z o.o.";"ul. Rydygiera 8, 01-793 Warszawa, Polska";"biuro@hipo.com.pl";"+48 22 633 59 80";36
"Cartotecnica Rossi";"Cartotecnica Rossi S.p.A.";"Via Fossalta 64, 31033 Castelfranco Veneto (TV), Italia";"info@cartfrrossi.com";"+39 0423 738 411";36
"GRUPA WYDAWNICZA MEDIA RODZINA SPÓŁKA Z O.O";"Egmont Polska Sp. z o.o.";"ul. Dzielna 60, 01-029 Warszawa, Polska";"egmont@egmont.pl";"+48 22 838 41 00";36
"MP POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Michalczyk i Prokop Sp. z o.o.";"ul. Szkolna 5, 32-020 Wieliczka, Polska";"handlowy@mfrip.pl";"+48 12 278 19 00";34
"Pastello";"Tadeo Trading Sp. z o.o.";"ul. Nowogrodzka 31, 00-511 Warszawa, Polska";"biuro@tadeo.pl";"+48 22 625 61 10";34
"Welly";"Welly Die Casting Factory Ltd.";"Hong Kong, China";"";"";34
"Eagle";"Eagle Sp. z o.o.";"ul. Marszałkowska 27/35, 00-639 Warszawa, Polska";"biuro@eagle.com.pl";"+48 22 826 21 25";33
"Kukuryku";"Kukuryku Julia Pogorzelska";"ul. Mokotowska 1, 00-640 Warszawa, Polska";"";"";32
"ROZETTE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Rozette Sp. z o.o.";"ul. Targowa 72, 03-734 Warszawa, Polska";"biuro@rozette.pl";"+48 22 818 07 00";32
"Maped";"Maped S.A.S.";"6 Rue du Dr Henri Tresal, 74300 Cluses, France";"sav@maped.com";"+33 4 50 98 60 60";30
"Abino";"Abino Sp. z o.o.";"ul. Domaniewska 37, 02-672 Warszawa, Polska";"biuro@abino.pl";"+48 22 652 18 20";30
"nieznany producent";"";"";"";"";28
"Waterman";"Newell Poland Services Sp. z o.o.";"ul. Inflancka 4C, 00-189 Warszawa, Polska";"info.poland@newellco.com";"+48 22 375 25 00";27
"EUROPAPIER POLSKA SP.Z O.O.";"Europapier Polska Sp. z o.o.";"ul. Krakowiaków 46, 02-255 Warszawa, Polska";"biuro@europapier.com";"+48 22 868 73 00";27
"Nadwyraz";"Wydawnictwo Nadwyraz Sp. z o.o.";"Warszawa, Polska";"";"";27
"Paper Mate";"Newell Poland Services Sp. z o.o.";"ul. Inflancka 4C, 00-189 Warszawa, Polska";"info.poland@newellco.com";"+48 22 375 25 00";26
"Derform";"Derform Sp. z o.o.";"ul. Łąkowa 11, 83-010 Straszyn, Polska";"biuro@derform.pl";"+48 58 741 15 11";26
"GoDan";"Godan S.A.";"ul. Kopernika 38, 05-120 Legionowo, Polska";"biuro@godan.pl";"+48 22 774 11 11";26
"Biurfol";"Biurfol Sp. z o.o.";"ul. Metalowców 7, 37-450 Stalowa Wola, Polska";"biuro@biurfol.pl";"+48 15 844 20 40";25
"CZAPSKA SPÓŁKA KOMANDYTOWA";"Czapska Sp. k.";"ul. Sokołowska 38, 05-806 Sokołów, Polska";"biuro@tetis.pl";"+48 22 729 77 77";25
"Unipap";"Unipap Sp. z o.o.";"ul. Dworcowa 7, 43-502 Czechowice-Dziedzice, Polska";"biuro@unipap.pl";"+48 32 215 68 90";24
"Granna";"Granna Sp. z o.o.";"ul. Brzeska 2, 21-400 Łuków, Polska";"biuro@granna.pl";"+48 25 798 42 42";24
"BamBam";"BamBam Sp. z o.o.";"ul. Starogardzka 7, 83-010 Straszyn, Polska";"biuro@bambam.pl";"+48 58 690 90 90";24
"Kamet";"Kamet Eugeniusz Kamiński";"ul. Parkowa 12, 05-270 Marki, Polska";"";"";23
"AVERY ZWECKFORM GMBH";"Avery Zweckform GmbH";"Ernst-Abbe-Straße 26, 85540 Haar, Deutschland";"info@avery-zweckform.de";"+49 89 436 80 0";23
"Dickie Toys";"Simba Toys GmbH & Co. KG";"Werkstraße 1, 90765 Fürth, Deutschland";"info@simba-dickie-group.de";"+49 911 9765 01";23
"Gimboo";"PBS Connect Polska Sp. z o.o.";"ul. Kolejowa 54B, 01-210 Warszawa, Polska";"biuro@pbs-connect.pl";"+48 22 632 33 11";23
"WYDAWNICTWO "NIKO" S.C.KRZEMIONKA,SOBIERALSKI";"Grupo Zielona Sowa Sp. z o.o.";"ul. Reja 3, 80-404 Gdańsk, Polska";"biuro@zielonasowa.pl";"+48 58 340 53 53";22
"Adar";"Adar Agencja Handlowo-Usługowa Dariusz Adamiec";"Łódź, Polska";"";"";21
"STABILO POLSKA";"STABILO International GmbH";"Schwanweg 1, 90562 Heroldsberg, Deutschland";"info@stabilo.com";"+49 911 9365 0";20
"HERLITZ PRZEŹMIEROWO";"Herlitz CBC GmbH & Co. KG";"Falkenseer Chaussee 36, 13583 Berlin, Deutschland";"info@herlitz.de";"+49 30 3390 0";20
"PBS CONNECT POLSKA SP. Z O.O.";"PBS Connect Polska Sp. z o.o.";"ul. Kolejowa 54B, 01-210 Warszawa, Polska";"biuro@pbs-connect.pl";"+48 22 632 33 11";20
"Canson";"Canson S.A.S.";"67 rue de Bagnolet, 75020 Paris, France";"info@canson.com";"+33 4 75 33 60 00";19
"Paso";"PASO Sp. z o.o.";"ul. Życzliwa 2A, 53-030 Wrocław, Polska";"biuro@paso.pl";"+48 71 339 47 39";18
"Deef";"Deef Sp. z o.o.";"Wrocław, Polska";"";"";18
"Sun-Day";"Sun-Day Sp. z o.o.";"Warszawa, Polska";"";"";18
"Lego";"LEGO A/S";"";"kundeservice@lego.com";"+45 79 50 60 70";18
"Sharpie";"Newell Poland Services Sp. z o.o.";"ul. Inflancka 4C, 00-189 Warszawa, Polska";"info.poland@newellco.com";"+48 22 375 25 00";17
"Toma";"Toma Sp. z o.o.";"ul. Jałowcowa 8, 05-552 Wólka Kosowska, Polska";"biuro@toma.com.pl";"+48 22 750 68 10";17
"Back Up";"Derform Sp. z o.o.";"ul. Łąkowa 11, 83-010 Straszyn, Polska";"biuro@derform.pl";"+48 58 741 15 11";17
"Titanum Zenon Waniak Spółka Komandytowa";"Titanum Sp. z o.o.";"ul. Garbarska 16, 20-340 Lublin, Polska";"biuro@titanum.pl";"+48 81 743 04 00";17
"St. Majewski Spółka z.o.o";"St. Majewski Sp. z o.o. Sp. k.";"ul. Kredkowa 1, 05-800 Pruszków, Polska";"st-majewski@st-majewski.pl";"+48 22 758 70 41";17
"Penmate";"Tadeo Trading Sp. z o.o.";"ul. Nowogrodzka 31, 00-511 Warszawa, Polska";"biuro@tadeo.pl";"+48 22 625 61 10";16
"Mondi";"Mondi Świecie S.A.";"ul. Bydgoska 1, 86-100 Świecie, Polska";"info@mondigroup.com";"+48 52 332 11 11";16
"Bigo";"Bigo Sp. z o.o.";"ul. Sokołowska 38, 05-806 Sokołów, Polska";"biuro@bigo.com.pl";"+48 22 729 77 30";16
"MILAN POLSKA SP.Z.O.O.";"Milan Cia. de Leykam S.A.";"Carrer de la Barquera, 48, 46014 Valencia, Spain";"info@milan.es";"+34 963 79 52 52";16
"Tres";"Tres Sp. z o.o.";"Warszawa, Polska";"";"";16
"FILA POLSKA SPÓŁKA";"Faber-Castell Aktiengesellschaft";"Nürnberger Straße 2, 90546 Stein, Deutschland";"info@faber-castell.de";"+49 911 9965 0";16
"Fiorello";"Tadeo Trading Sp. z o.o.";"ul. Nowogrodzka 31, 00-511 Warszawa, Polska";"biuro@tadeo.pl";"+48 22 625 61 10";16
"Alleblox";"Euro-Trade Sp. z o.o. Sp. j.";"ul. Rolnicza 4, 41-253 Czeladź, Polska";"eurotrade@euro-trade.pl";"+48 32 263 74 60";16
"Bam Bam";"BamBam Sp. z o.o.";"ul. Starogardzka 7, 83-010 Straszyn, Polska";"biuro@bambam.pl";"+48 58 690 90 90";16
"Jada Toys";"Jada Toys, Inc.";"16628 Marquardt Ave, Cerritos, CA 90703, USA";"info@jadatoys.com";"+1 714 562 0707";16
"Strigo";"Tadeo Trading Sp. z o.o.";"ul. Nowogrodzka 31, 00-511 Warszawa, Polska";"biuro@tadeo.pl";"+48 22 625 61 10";15
"Hamelin";"Hamelin S.A.S.";"";"contact@hamelin.com";"+33 2 31 66 30 00";15
"Q-connect";"PBS Connect Polska Sp. z o.o.";"ul. Kolejowa 54B, 01-210 Warszawa, Polska";"biuro@pbs-connect.pl";"+48 22 632 33 11";15
"KW Trade";"KW Trade Sp. z o.o.";"ul. Maratońska 91, 94-007 Łódź, Polska";"biuro@kwtrade.pl";"+48 42 681 91 63";14
"Zenith";"Zenith S.r.l.";"Via del Lavoro 1, 40033 Casalecchio di Reno (BO), Italia";"info@zenith.it";"+39 051 575 01 01";14
"ALFA spółka cywilna Bogusław Pilawa, Robert Szydło";"ALFA s.c. B. Pilawa, R. Szydło";"ul. Krakowska 141, 34-120 Andrychów, Polska";"biuro@alfalampy.pl";"";14
"ST. MAJEWSKI SP. Z O. O.";"St. Majewski Sp. z o.o. Sp. k.";"ul. Kredkowa 1, 05-800 Pruszków, Polska";"st-majewski@st-majewski.pl";"+48 22 758 70 41";13
"Schleich";"Schleich GmbH";"Am Limes 69, 73527 Schwäbisch Gmünd, Deutschland";"info@schleich-s.com";"+49 7171 1070 100";13
"ASKATO SPÓŁKA Z O.O. SP. K.";"Askato Sp. z o.o. Sp. k.";"ul. Obornicka 2A, 62-002 Złotniki, Polska";"biuro@askato.pl";"+48 61 666 15 56";13
"Rozette";"Rozette Sp. z o.o.";"ul. Targowa 72, 03-734 Warszawa, Polska";"biuro@rozette.pl";"+48 22 818 07 00";13
"Antra";"Antra Sp. z o.o.";"ul. Popularna 14, 02-473 Warszawa, Polska";"biuro@antra.pl";"+48 22 290 59 50";13
"Kum";"KUM Schreibgeräte GmbH & Co. KG";"Nürnberger Str. 58, 91052 Erlangen, Deutschland";"info@kum.de";"+49 913 187 770";12
"Rotring";"Newell Poland Services Sp. z o.o.";"ul. Inflancka 4C, 00-189 Warszawa, Polska";"info.poland@newellco.com";"+48 22 375 25 00";12
"XQ";"";"";"";"";12
"Mattel";"Mattel, Inc.";"";"consumer.services@mattel.com";"+1 800 524 8697";12
"Monami";"Monami Co., Ltd.";"22-1, Bangul-dong, Gimpo-si, Gyeonggi-do, South Korea";"";"";12
"RYSTOR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Rystor Polska Sp. z o.o.";"ul. Słoneczna 21A, 86-031 Osielsko, Polska";"rystor@rystor.pl";"+48 787 097 435";12
"MP";"Michalczyk i Prokop Sp. z o.o.";"ul. Szkolna 5, 32-020 Wieliczka, Polska";"handlowy@mfrip.pl";"+48 12 278 19 00";12
"Fisher-Price";"Mattel, Inc.";"333 Continental Blvd, El Segundo, CA 90245, USA";"consumer.services@mattel.com";"+1 800 524 8697";11
"Basic";"PBS Connect Polska Sp. z o.o.";"ul. Annopol 4a, 03-236 Warszawa, Polska";"biuro@pbsconnect.pl";"";11
"TULLO KATARZYNA ABRAMCZUK";"Tullo Katarzyna Abramczuk";"Łódź, Polska";"tullo@tullo.pl";"";11
"CzuCzu";"Bright Junior Media Sp. z o.o.";"ul. Wołoska 7, 02-675 Warszawa, Polska";"kontakt@czuczu.pl";"+48 22 378 31 51";11
"CDNORD";"CDNord Sp. z o.o.";"Poznań, Polska";"";"";10
"Quercetti";"Quercetti & C. S.p.A.";"Corso Vigevano, 25, 10155 Torino, Italia";"info@quercetti.it";"+39 011 24 89 811";10
"DELTA-GRAPHIX";"Grand Sp. j.";"ul. Elbląska 15/17, 01-747 Warszawa, Polska";"biuro@grand.com.pl";"+48 22 633 31 33";10
"Malimas";"Malimas Sp. z o.o.";"Polska";"";"";10
"F.H.U. JU-PITER JACEK ŁUKASIAK";"F.H.U. Ju-Piter Jacek Łukasiak";"Łódź, Polska";"";"";10
"Ge.Ma.R.";"Ge.Ma.R. S.r.l.";"Via Portuense 1645, 00148 Roma, Italia";"info@gefrmar.it";"+39 06 655 33 58";10
"GODAN S.A.";"Godan S.A.";"ul. Kopernika 38, 05-120 Legionowo, Polska";"biuro@godan.pl";"+48 22 774 11 11";10
"DIPLO";"Diplo Sp. z o.o.";"Polska";"";"";10
"UNI";"Mitsubishi Pencil Co., Ltd.";"5-23-37 Higashiohi, Shinagawa-ku, Tokyo 140-8537, Japan";"info@uniball.eu";"+44 1onal234 33 43 45";9
"TRODAT SP.Z O.O.";"Trodat Sp. z o.o.";"ul. Marsa 56A, 04-242 Warszawa, Polska";"info@trodat.pl";"+48 22 610 09 53";9
"TOMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Toma Sp. z o.o.";"ul. Jałowcowa 8, 05-552 Wólka Kosowska, Polska";"biuro@toma.com.pl";"+48 22 750 68 10";9
"Jupiter";"F.H.U. Ju-Piter Jacek Łukasiak";"Łódź, Polska";"";"";9
"LESZKO";"Leszko Sp. z o.o.";"Polska";"";"";9
"Procos";"Procos S.A.";"Metamorphosis, Athens, Greece";"info@procos.gr";"";9
"MC My Bubble";"Mega Creative Sp. z o.o.";"ul. Grunwaldzka 82, 03-118 Warszawa, Polska";"biuro@megacreative.pl";"+48 22 811 83 28";8
"Munhwa";"Munhwa Co., Ltd.";"Seoul, South Korea";"";"";8
"Clinex";"Amtra Sp. z o.o.";"ul. Schönkirch 1, 80-170 Gdańsk, Polska";"clinex@clinex.pl";"+48 58 326 30 30";8
"inna";"";"";"";"";8
"Trifox";"Trifox Sp. z o.o.";"ul. Kolejowa 5, 01-217 Warszawa, Polska";"biuro@trifox.pl";"";8
"Hasbro";"Hasbro European Trading B.V.";"Passage 234, 1101 AX Amsterdam Zuidoost, Netherlands";"consumer_affairs@hasbro.co.uk";"+44 800 227 228";7
"Artyk";"Artyk Sp. z o.o.";"ul. Demokratyczna 46, 93-430 Łódź, Polska";"biuro@artyk.com.pl";"+48 42 684 42 42";7
"Elba";"Hamelin Polska Sp. z o.o.";"ul. Szarych Szeregów 13, 60-462 Poznań, Polska";"biuro@hamelin.pl";"+48 61 867 34 95";7
"Spin Master";"Spin Master Ltd.";"225 King Street West, Suite 200, Toronto, Ontario M5V 3M2, Canada";"info@spinmaster.com";"+1 416 364 6002";7
"Koh-i-noor";"KOH-I-NOOR HARDTMUTH a.s.";"F. A. Gerstnera 21/3, 370 01 České Budějovice, Česká republika";"info@koh-i-noor.cz";"+420 389 000 111";7
"POLIGRAF is";"Poligraf IS sp. j.";"ul. Mickiewicza 21, 32-050 Skawina, Polska";"biuro@poligraf-is.pl";"";7
"Centropen";"Centropen a.s.";"Nádražní 215, 561 51 Letohrad, Česká republika";"centropen@centropen.cz";"+420 465 622 111";7
"Panta Plast";"Panta-Plast Sp. z o.o.";"ul. Opłotki 5, 03-984 Warszawa, Polska";"biuro@panta-plast.pl";"+48 22 515 30 00";7
"Berlingo";"Berlingo Trading GmbH";"Hamburg, Deutschland";"";"";7
"My Bubble";"Mega Creative Sp. z o.o.";"ul. Grunwaldzka 82, 03-118 Warszawa, Polska";"biuro@megacreative.pl";"+48 22 811 83 28";7
