"Kategoria Mamezi";"Reguła mapowania";"Slug WBTrade";"Kategoria WBTrade (opis)";"Status"
"FIRMA I BIURO/Biuro/Sprzęt biurowy";"FIRMA I BIURO/Biuro/Sprzęt biurowy";"artykuly-szkolne-i-papiernicze";"Sprzęt biurowy → Dla dziecka > Artykuły szkolne i papiernicze";"OK"
"FIRMA I BIURO/Biuro/Teczki";"FIRMA I BIURO/Biuro/Teczki";"artykuly-szkolne-i-papiernicze";"Teczki → Dla dziecka > Artykuły szkolne i papiernicze";"OK"
"FIRMA I BIURO/Materiały i akcesoria/Akcesoria do kas i drukarek/Rolki i taśmy kasowe";"FIRMA I BIURO/Materiały i akcesoria/Akcesoria do kas i drukarek";"komputery-i-akcesoria";"Rolki kasowe, taśmy kasowe → Elektronika i GSM > Komputery i akcesoria";"OK"
"FIRMA I BIURO/Materiały i akcesoria/Akcesoria kuchenne";"FIRMA I BIURO/Materiały i akcesoria/Akcesoria kuchenne";"kuchnia";"Akcesoria kuchenne → Dom > Kuchnia";"OK"
"FIRMA I BIURO/Materiały i akcesoria/Kleje";"FIRMA I BIURO/Materiały i akcesoria/Kleje";"akcesoria-1";"Kleje → Narzędzia > Akcesoria";"OK"
"FIRMA I BIURO/Materiały i akcesoria/Przyrządy pomiarowe";"FIRMA I BIURO/Materiały i akcesoria/Przyrządy pomiarowe";"narzedzia-reczne";"Przyrządy pomiarowe → Narzędzia > Narzędzia ręczne";"OK"
"FIRMA I BIURO/OUTLET";"FIRMA I BIURO/OUTLET";"outlet";"Outlet → Outlet";"OK"
"FIRMA I BIURO/Pakowanie i wysyłka/Etykiety samoprzylepne";"FIRMA I BIURO/Pakowanie i wysyłka";"pojemniki-i-zbiorniki-gospodarcze-bl-2966384";"Kartony, koperty, folie, taśmy pakowe → Ogród i Gospodarstwo > Pojemniki i zbiorniki gospodarcze";"OK"
"FIRMA I BIURO/Pakowanie i wysyłka/Folia Stretch";"FIRMA I BIURO/Pakowanie i wysyłka";"pojemniki-i-zbiorniki-gospodarcze-bl-2966384";"Kartony, koperty, folie, taśmy pakowe → Ogród i Gospodarstwo > Pojemniki i zbiorniki gospodarcze";"OK"
"FIRMA I BIURO/Pakowanie i wysyłka/Foliopaki";"FIRMA I BIURO/Pakowanie i wysyłka";"pojemniki-i-zbiorniki-gospodarcze-bl-2966384";"Kartony, koperty, folie, taśmy pakowe → Ogród i Gospodarstwo > Pojemniki i zbiorniki gospodarcze";"OK"
"FIRMA I BIURO/Pakowanie i wysyłka/Kartony";"FIRMA I BIURO/Pakowanie i wysyłka";"pojemniki-i-zbiorniki-gospodarcze-bl-2966384";"Kartony, koperty, folie, taśmy pakowe → Ogród i Gospodarstwo > Pojemniki i zbiorniki gospodarcze";"OK"
"FIRMA I BIURO/Pakowanie i wysyłka/Koperty";"FIRMA I BIURO/Pakowanie i wysyłka";"pojemniki-i-zbiorniki-gospodarcze-bl-2966384";"Kartony, koperty, folie, taśmy pakowe → Ogród i Gospodarstwo > Pojemniki i zbiorniki gospodarcze";"OK"
"FIRMA I BIURO/Pakowanie i wysyłka/Taśmy pakowe";"FIRMA I BIURO/Pakowanie i wysyłka";"pojemniki-i-zbiorniki-gospodarcze-bl-2966384";"Kartony, koperty, folie, taśmy pakowe → Ogród i Gospodarstwo > Pojemniki i zbiorniki gospodarcze";"OK"
"FIRMA I BIURO/Pakowanie i wysyłka/Woreczki i torby foliowe";"FIRMA I BIURO/Pakowanie i wysyłka";"pojemniki-i-zbiorniki-gospodarcze-bl-2966384";"Kartony, koperty, folie, taśmy pakowe → Ogród i Gospodarstwo > Pojemniki i zbiorniki gospodarcze";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Mydła";"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Mydła";"higiena-i-utrzymanie-czystosci";"Mydła → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Odświeżacze powietrza";"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Odświeżacze powietrza";"higiena-i-utrzymanie-czystosci";"Odświeżacze powietrza → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki czyszczące";"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki czyszczące";"higiena-i-utrzymanie-czystosci";"Środki czyszczące → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do prania/Czyszczenie pralki";"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do prania";"higiena-i-utrzymanie-czystosci";"Środki do prania (kapsułki, proszki, płyny, odplamiacze) → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do prania/Kapsułki i tabletki do prania";"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do prania";"higiena-i-utrzymanie-czystosci";"Środki do prania (kapsułki, proszki, płyny, odplamiacze) → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do prania/Odplamiacze";"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do prania";"higiena-i-utrzymanie-czystosci";"Środki do prania (kapsułki, proszki, płyny, odplamiacze) → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do prania/Perełki zapachowe";"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do prania";"higiena-i-utrzymanie-czystosci";"Środki do prania (kapsułki, proszki, płyny, odplamiacze) → Gastronomia > Higiena i utrzymanie czystości";"OK"
