SKU;EAN;Nazwa produktu (BL);Kategoria BTP (główna);Kategoria BTP (podkategoria);Proponowana kategoria sklepu;Slug kategorii;BL Category ID;Status
CAT0105;8435497268145;"Segregator Stitch A4 4 ringi, gumka Disney";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
CD164DZ01;6958444971490;"Uchwyt samochodowy z ładowarką indukcyjną 15W, czarny, US CD164";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
GUWMS4GTLBK;3666339006778;"Portfel Wallet Card Slot MagSafe 4G magnetyczny Guess szary";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
CM049622;840171721102;"Uchwyt MagSafe etui Mate z obracanym pierścieniem, stal nierdzewna, srebrne";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
CD132ZJ01;;"Uchwyt US CD132 samochodowy z ładowaniem bezprzewodowym 15W czarny";;;;;;BRAK W CSV
CD182ZJ01;6958444901015;"Uchwyt magnetyczny US CD182 samochodowy z ładowaniem bezprzewodowym czarny";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
8711252269559;8711252269559;"Guma oporowa do ćwiczeń 15kg niebieski";Sport i turystyka;Sport;Sport i turystyka > Rowery i akcesoria;rowery-i-akcesoria;2804321;OK
8711252269191;8711252269191;"Guma oporowa do ćwiczeń niebieski";Sport i turystyka;Sport;Sport i turystyka > Rowery i akcesoria;rowery-i-akcesoria;2804321;OK
8711252269535;8711252269535;"Taśmy do rozciągania 3 szt";Sport i turystyka;Sport;Sport i turystyka > Rowery i akcesoria;rowery-i-akcesoria;2804321;OK
MEMWCCK;3666339146016;"Uchwyt magnetyczny srebrne Star MagSafe samochodowy z ładowaniem czarny";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
CD170DZ01;6958444976181;"Uchwyt magnetyczny US CD170 samochodowy z ładowaniem bezprzewodowym czarny";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
8711252175225_RED;5904501202824;"Uchwyty do pompek Push Up Bars 2 szt. czerwone";Sport i turystyka;Sport;Sport i turystyka > Rowery i akcesoria;rowery-i-akcesoria;2804321;OK
8711252269566;8711252269566;"Guma oporowa do ćwiczeń 25kg czerwone";Sport i turystyka;Sport;Sport i turystyka > Rowery i akcesoria;rowery-i-akcesoria;2804321;OK
8711252269573;8711252269573;"Guma oporowa do ćwiczeń 35kg niebieski";Sport i turystyka;Sport;Sport i turystyka > Rowery i akcesoria;rowery-i-akcesoria;2804321;OK
8711252268729;8711252268729;"Obciążniki na kostki nadgarstki 2x1 kg czerwone";Sport i turystyka;Sport;Sport i turystyka > Rowery i akcesoria;rowery-i-akcesoria;2804321;OK
8711252324661;8711252324661;"Zestaw 7 pojemników do przechowywania żywności";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
8711252414010;8711252414010;"Zestaw do badmintona 9 elementów";Sport i turystyka;Sport;Sport i turystyka > Rowery i akcesoria;rowery-i-akcesoria;2804321;OK
AMP06498;8809896748094;"Bransoleta Spigen Modern Fit ze stali nierdzewnej Samsung Galaxy 6x44mm";Elektronika;Smartwatche i akcesoria;Elektronika i GSM > Akcesoria GSM;akcesoria-gsm;2810052;OK
CM051704;;"Osłona na obiektyw iPhone 15 Plus z aluminiową ramką hartowanym szkłem";;;;;;BRAK W CSV
CTBV001;8435497253561;"Notatnik podróżny skórzany Harry Potter 12x19,6cm brązowe z Hogwartu";Dziecko;Pisanie rysowanie malowanie;Dla dziecka > Artykuły plastyczne i kreatywne;artykuly-plastyczne-i-kreatywne;2810096;OK
LAP003;8435497267940;"Pojemnik Stitch na przybory Disney";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
AMP05302;8809811867275;"Stacja dokująca Spigen S353 Samsung Galaxy Watch 5";Elektronika;Smartwatche i akcesoria;Elektronika i GSM > Akcesoria GSM;akcesoria-gsm;2810052;OK
E8711252158709;;"Zestaw farb wodnych 12 kolorów pędzelek";;;;;;BRAK W CSV
E8711252179209;8711252179209;"Zestaw Artist Co farb akrylowych w tubkach 12ml 25 kolorów";Dziecko;Pisanie rysowanie malowanie;Dla dziecka > Artykuły plastyczne i kreatywne;artykuly-plastyczne-i-kreatywne;2810096;OK
E8711252724980;8711252724980;"Gumki recepturki 200 szt";Firma;Biuro;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
E8711252798851;8711252798851;"Zestaw długopisów kulkowych z gumowym z uchwytem niebieski 4 szt";Firma;Biuro;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
E8711252451626;8711252451626;"Zestaw geometryczny 4 elementy";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
E8711252238395_02;5904501202985;"Zestaw farb pastelowych akrylowych w tubkach 80ml 4 kolory 2";Dziecko;Pisanie rysowanie malowanie;Dla dziecka > Artykuły plastyczne i kreatywne;artykuly-plastyczne-i-kreatywne;2810096;OK
E8711252388373_GREEN;5904501202992;"Przybornik na biurko 13 elementów zielone";Firma;Biuro;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
E8711252388373_BLUE;5904501203005;"Przybornik na biurko 13 elementów niebieski";Firma;Biuro;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
E8711252014722;;"Świeczki Tealight podgrzewacze bezzapachowe 50 szt";;;;;;BRAK W CSV
8711252146959;;"Lampa stołowa";;;;;;BRAK W CSV
AFA07543;8809971224567;"Saszetka na telefon Spigen KD411, nylonowa, czarna, z ochroną Rfid";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
AFA07482;;"Torba na ramię Spigen KD410 Klasden Wodoodporna, czarna, z multifunkcją";;;;;;BRAK W CSV
BMHBSPCTFK;3666339089733;"Torba Perforated Bmw czarny";Elektronika;Komputery;Elektronika i GSM > Etui i pokrowce > Do tabletów i laptopów;do-tabletow-i-laptopow;2805806;OK
SGALNII0014;758524876174;"Zestaw Nexgen Skins skórek na obudowę z efektem Samsung Galaxy Note 2";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
CRG-ATS-VLT;;"Brelok silikonowy do Apple AirTag z pierścieniem lawendowy, lekki, trwały";;;;;;BRAK W CSV
ACP05507;8809811869255;"Uchwyt samochodowy Spigen UTS12 OneTap, uniwersalny, czarny, 360°";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
WK-WP-U206;;"Uchwyt magnetyczny samochodowy z ładowaniem 15W MagSafe, czarny";;;;;;BRAK W CSV
AMP06490;8809896748032;"Bransoleta Spigen Modern Fit Band ze stali nierdzewnej, czarna 47mm 6";Elektronika;Smartwatche i akcesoria;Elektronika i GSM > Akcesoria GSM;akcesoria-gsm;2810052;OK
MGGEL002;8435497261733;"Mata gamingowa";Dziecko;Pokój wyposażenie;Dom > Wyposażenie i akcesoria;wyposazenie-i-akcesoria;2806817;OK
CM051260;;"Uchwyt MagSafe etui Mate Magnetic Loop Grip fioletowe Silikonowy 360°";;;;;;BRAK W CSV
KS053402;840171736250;"Uchwyt Kate Spade York Magnetic Loop Grip MagSafe na palec Pom różowe";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
871125225616;;"Koc flanelowy 200x150cm musztardowy Arti Casa";;;;;;BRAK W CSV
871125285577;8711252855776;"Zestaw baterii alkalicznych płaskich AG";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
695903384115;6959033841156;"Zestaw LongLife baterii cynkowych AAA";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
871125252564;8711252525648;"Bateria cynkowa D";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
871125224157;8711252241579;"Organizer na buty 3 szt. czarny";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
871125248493;8711252484938;"Odświeżacz powietrza 300ml potpourri";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
871125218595;8711252185958;"Siatka do tenisa stołowego regulowana niebieski/czarny";Sport i turystyka;Sport;Sport i turystyka > Rowery i akcesoria;rowery-i-akcesoria;2804321;OK
871125201844_03;5904501204071;"Piłka do piłki nożnej r. 5 biały/różowe";Sport i turystyka;Sport;Sport i turystyka > Rowery i akcesoria;rowery-i-akcesoria;2804321;OK
871125201844_05;5904501204095;"Piłka do piłki nożnej r. 5 biały/pomarańczowy";Sport i turystyka;Sport;Sport i turystyka > Rowery i akcesoria;rowery-i-akcesoria;2804321;OK
871125222432_YELLOW;5904501203869;"Zapalniczka gazowa wygodna długa 26,6cm żółty";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
871125222432_GREEN;5904501203890;"Zapalniczka gazowa wygodna długa 26,6cm zielone";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
HKCPMKHK;3666339388171;"Hello Kitty Zawieszka czarny";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
HKCPMKK;3666339388195;"Hello Kitty Zawieszka Cute czarny";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
8711252031477CORAL;5904501203609;"Koc 150x200cm koralowy";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
75865;8412497758654;"Zestaw Stitch dwóch szklanek w ozdobnym pudełku 490ml Disney";Dziecko;Butelki kubki;Dla dziecka > Przybory i akcesoria;przybory-i-akcesoria;2813436;OK
IMAC270032;758524874033;"Zestaw Nexgen Skins skórek na obudowę z efektem iMac 27 Owlettes";Elektronika;Komputery;Elektronika i GSM > Etui i pokrowce > Do tabletów i laptopów;do-tabletow-i-laptopow;2805806;OK
8711252031477DARKBLUE_02;5904501203623;"Koc 150x200cm wzór 02 granatowy";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
8711252031477GRAY_01;5904501203630;"Koc 150x200cm wzór 01 szary";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
8711252031477GRAY_02;5904501203647;"Koc 150x200cm wzór 02 szary";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
KS053896;840171738360;"Uchwyt MagSafe Kate Spade York, stal nierdzewna, tortoishell, 360°";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
IMAC270030;758524874019;"Zestaw Nexgen Skins skórek na obudowę z efektem iMac 27 Hearts and Daisies";Elektronika;Komputery;Elektronika i GSM > Etui i pokrowce > Do tabletów i laptopów;do-tabletow-i-laptopow;2805806;OK
KS053956;;"Portfel magnetyczny Kate Spade York Morgan, czarny, skóra wegańska";;;;;;BRAK W CSV
CM053510;840171736564;"Uchwyt telefoniczny etui Mate Stick It MagSafe z przyssawką czarny";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
IMAC270029;758524873999;"Zestaw Nexgen Skins skórek na obudowę z efektem iMac 27 Hardwood Classic";Elektronika;Komputery;Elektronika i GSM > Etui i pokrowce > Do tabletów i laptopów;do-tabletow-i-laptopow;2805806;OK
E8711252452739;8711252452739;"Zestaw dyspenser biurowy taśma klejąca";Firma;Biuro;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
E8711252043135;8711252043135;"Klej w sztyfcie 4 szt";Firma;Biuro;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
E8711252452470;8711252452470;"Marker permanentny 4 szt. czarny";Firma;Biuro;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
E8711252508825;8711252508825;"Ołówek HB z gumką 12 szt";Firma;Biuro;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
E8711252319476;8711252319476;"Zestaw kredek ołówkowych dwustronnych 24 kolory";Dziecko;Pisanie rysowanie malowanie;Dla dziecka > Artykuły plastyczne i kreatywne;artykuly-plastyczne-i-kreatywne;2810096;OK
E8711252319346;8711252319346;"Zestaw kredek olówkowych 12 szt. z temperówką";Dziecko;Pisanie rysowanie malowanie;Dla dziecka > Artykuły plastyczne i kreatywne;artykuly-plastyczne-i-kreatywne;2810096;OK
E8711252452029;8711252452029;"Zestaw długopisów kulkowych 10 kolorów";Firma;Biuro;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
E8711252988580;8711252988580;"Zestaw ołówków mechanicznych z wymiennymi wkładami gumki 10 elementów";Firma;Biuro;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
E8711252267777;8711252267777;"Zestaw długopisów kulkowych z podwójną linią 6 elementów";Firma;Biuro;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
E8711252238395_01;5904501202978;"Zestaw farb pastelowych akrylowych w tubkach 80ml 4 kolory 1";Dziecko;Pisanie rysowanie malowanie;Dla dziecka > Artykuły plastyczne i kreatywne;artykuly-plastyczne-i-kreatywne;2810096;OK
E8711252962825;8711252962825;"Zestaw kredek olówkowych 24 szt";Dziecko;Pisanie rysowanie malowanie;Dla dziecka > Artykuły plastyczne i kreatywne;artykuly-plastyczne-i-kreatywne;2810096;OK
E8711252388373_PINK;5904501203012;"Przybornik na biurko 13 elementów różowe";Firma;Biuro;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
AMP06403;8809896747127;"Statyw selfie Spigen S570W MagSafe, różowe, Bluetooth, teleskopowy 67cm";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
APP07078;;"Rysik dotykowy Spigen uniwersalny, czarny, z magnetycznym zamknięciem";;;;;;BRAK W CSV
871125206175;8711252061757;"Bezpieczniki samochodowe 10 szt";Motoryzacja;Akcesoria samochodowe;Motoryzacja > Akcesoria i części;akcesoria-i-czesci;2810030;OK
871125215128;8711252151281;"Ściereczka z mikrofibry do polerowania lakieru 35x35cm";Motoryzacja;Akcesoria samochodowe;Motoryzacja > Akcesoria i części;akcesoria-i-czesci;2810030;OK
CM050834;840171726725;"Etui Łańcuszek crossbody Mate, czarny, 137,5cm, hipoalergiczny";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
871125218259;;"Lina holownicza 4m z hakami 2800kg, czerwona, UV odporna";;;;;;BRAK W CSV
871125208939;;"Spray do czyszczenia kokpitu 750ml jabłkowy";;;;;;BRAK W CSV
871125208164;;"Spray do czyszczenia kokpitu 750ml lemon";;;;;;BRAK W CSV
871125208938;;"Spray do czyszczenia kokpitu 750ml wanilia nabłyszcza odświeża";;;;;;BRAK W CSV
EBIKEGCFSF36V10A;;"Bateria Silverfish do roweru elektrycznego E rower z ładowarką 36V 10.4Ah 3";;;;;;BRAK W CSV
EBIKEGCF06;;"Bateria Silverfish do roweru elektrycznego E rower z ładowarką 24V 11.6Ah 3";;;;;;BRAK W CSV
EBIKE76STD;;"Bateria do roweru elektrycznego E rower z ładowarką 36V 15Ah 5.5x2.1mm";;;;;;BRAK W CSV
INVSOL02;;"Inwerter solarny Falownik Off Grid z ładowarką solarną Mppt 24VDC 3000VA";;;;;;BRAK W CSV
INVGC1224M300DUO;;"Inwerter DC AC 12";;;;;;BRAK W CSV
AF304132009;8435747813262;"Disney Stitch Album fotograficzny na 304 zdjęcia 13x20cm";Dziecko;Pokój wyposażenie;Dom > Wyposażenie i akcesoria;wyposazenie-i-akcesoria;2806817;OK
MARE0282;8435497295226;"Piórnik Stitch z kolekcji Tropical Disney";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
MARE0140;8435497262907;"Kosmetyczka podróżna z haczykiem Harry Potter";Dziecko;Pozostałe;Dla dziecka > Gadżety;gadzety-1;2804280;OK
HPBM025;5055583417078;"Harry Potter Zakładka do książki ze stali nierdzewnej Ravenclaw 12cm";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
CBK0139;8435497289904;"Segregator A4 z kolekcji Purrfect Love kartkami 4 ringi, gumka Pusheen";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
STATHP06;5055453486593;"Zestaw ołówków w pudełku Wands 6 szt. Harry Potter";Dziecko;Pisanie rysowanie malowanie;Dla dziecka > Artykuły plastyczne i kreatywne;artykuly-plastyczne-i-kreatywne;2810096;OK
CAC0019;;"Segregator A4 2 ringi Harry Potter";;;;;;BRAK W CSV
CBK0068A;8435497234584;"Segregator A4 z kartkami 4 ringi, gumka Harry Potter";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
CAT0069;8435497231453;"Segregator A4 4 ringi, gumka Harry Potter";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
MARE0279;8435497295196;"Piórnik pluszowy na przybory Inside Mang";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
CM051262;840171728033;"Uchwyt MagSafe etui Mate z Masą Perłową, Obrót 360°, Stojak";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
8711252018430_RED;;"Piłka do piłki nożnej r. 5 czerwone";;;;;;BRAK W CSV
LFA_6291108735411;6291108735411;"Asad Woda perfumowana dla mężczyzn Edp 100ml";Zdrowie higiena;Perfumy;Dom > Łazienka;lazienka;2810168;OK
EVGCAKHP1;;"Słupek montażowy Habu Post do stacji ładowania samochodów elektrycznych";;;;;;BRAK W CSV
CM046476;840171705805;"Etui Mate Universal Beaded Phone Wristlet Zawieszka z koralikami Jelly Bean";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
HKSTBEHP;3666339388119;"Hello Kitty Pearls and Beads zawieszka różowe";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
SDCZ74-064G-G46;;"Ultra Luxe Pendrive 64 GB USB 3.1 150 MB";;;;;;BRAK W CSV
BMHBPUCARTCBK;3666339089702;"Torba Tricolor Bmw czarny";Elektronika;Komputery;Elektronika i GSM > Etui i pokrowce > Do tabletów i laptopów;do-tabletow-i-laptopow;2805806;OK
BMBP15SPCTFK;3666339046774;"Plecak Tricolor na notebooka 16 Bmw czarny";Elektronika;Komputery;Elektronika i GSM > Etui i pokrowce > Do tabletów i laptopów;do-tabletow-i-laptopow;2805806;OK
SDSQQNR-064G-GN6IA;;"High Endurance microSDXC Karta pamięci 64 GB Class 10 UHS 100 MB/s z";;;;;;BRAK W CSV
WK-WP-U202;;"WEKOME WP-U202 Vanguard Series - Magnetyczny uchwyt samochodowy z ładowaniem bezprzewodowym 15W MagSafe (Czarny)";;;;;;BRAK W CSV
SDGALAXYS4SG;8033830066146;"Dwie folie na ekran Samsung Galaxy S4 Puro";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
WS60;;"Ws60 Panel słoneczny czarny";;;;;;BRAK W CSV
WS210;3492548234165;"Panel słoneczny Ws210 czarny";Dom i ogród;Fotowoltaika;Dom > Energia i ogrzewanie;energia-i-ogrzewanie;2810210;OK
ACP05506;8809811869248;"Uchwyt samochodowy Spigen UTS35 OneTap, czarny, 360° obrotowy, uniwersalny";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
GUHBP4RPSB;;"Organizer 4G Printed Travel Universal Bag na akcesoria Guess niebieski";;;;;;BRAK W CSV
GUHBP4RPSK;;"Organizer 4G Printed Travel Universal Bag na akcesoria Guess czarny";;;;;;BRAK W CSV
PUZ50011;;"Puzzle 500 elementów w ozdobnym pudełku Komnata Tajemnic Harry Potter";;;;;;BRAK W CSV
WM02055-ML1-6;5036905046558;"Puzzle 500 elementów w ozdobnym pudełku Christmas at Hogwarts Harry Potter";Dziecko;Zabawki;Dla dziecka > Zabawki;zabawki;2804079;OK
GUCPM4DRD;3666339171322;"Zawieszka 4G Rhinestone Guess";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
GUCPMTDCK;3666339171339;"Zawieszka trójkąt z cyrkoniami Guess";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
CM050836;;"Etui Łańcuszek na ramię typu crossbody Mate, hipoalergiczny, 137,5cm";;;;;;BRAK W CSV
KLWBSAKCPMG;3666339123352;"Torba na smartfona akcesoria srebrne";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
WK-WA-S54;;"Uchwyt samochodowy WA S54 K, obrotowy 360°, do telefonów 4,7-7,2 czarny";;;;;;BRAK W CSV
WK-WA-S55;;"Uchwyt samochodowy WA S55 K, 4,7-7,2, czarny, 360°";;;;;;BRAK W CSV
WK-WP-U83;;"Uchwyt samochodowy WP U83, 4,7-6,5, czarny, 360° obrotowy";;;;;;BRAK W CSV
WK-WP-U203;;"Uchwyt samochodowy z ładowaniem bezprzewodowym 15W, czarny, 360°";;;;;;BRAK W CSV
CKM;;"Uchwyt magnetyczny Ultimate samochodowy czarny";;;;;;BRAK W CSV
BMCMM22MRK;3666339122522;"Uchwyt magnetyczny m Edition samochodowy Bmw czarny";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
UPENH620SBEU;3492548230785;"HardCase H620S Smartfon pancerny 4GB RAM 64GB 6,2 4G LTE Dual Sim EU czarny";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
GUHBP4RPSP;;"Organizer 4G Printed Travel Universal Bag na akcesoria Guess różowe";;;;;;BRAK W CSV
GUHBHGCFSEP;3666339120276;"Organizer GCube Travel Universal Bag na akcesoria Guess różowe";Elektronika;Komputery;Elektronika i GSM > Etui i pokrowce > Do tabletów i laptopów;do-tabletow-i-laptopow;2805806;OK
GUWBHGCFSEK;3666339112745;"Torba GCube z przegrodą na smartfona Guess czarny";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
GUMRSALDGK;3666339170356;"Stojak MagSafe Rhinestone Magnetyczny uchwyt na palec z funkcją czarny";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
GUMRSALDGS;3666339170387;"Stojak MagSafe Rhinestone Magnetyczny uchwyt na palec z funkcją srebrne";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
CM052280;840171731910;"Uchwyt MagSafe etui Mate z obracanym pierścieniem, stal nierdzewna, srebrne";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
CM052250;840171731743;"Uchwyt MagSafe etui Mate Magnetic Loop Grip silikonowy, kolorowy, 360°";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
C2AT0069;8435497289881;"Segregator A4 z kolekcji Purrfect Love 2 ringi, gumka Pusheen";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
STM-111-376P-01;618952510616;"Plecak Dux 16L czarneochrona laptopa 15-16, wodoodporny, ergonomicznym";Elektronika;Komputery;Elektronika i GSM > Etui i pokrowce > Do tabletów i laptopów;do-tabletow-i-laptopow;2805806;OK
CM053066;840171735628;"Portfel magnetyczny etui Mate MagSafe 3w 1 Czarny, z funkcją stojaka";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
CM045510;;"Uchwyt na telefon etui Mate Twinkle Minis srebrne podstawka 360°";;;;;;BRAK W CSV
TSEH534;;"Podkładka biurkowa laminowana Disney Stitch 34,5x49,5cm odporna na";;;;;;BRAK W CSV
AF161612;8435497288075;"Disney Stitch Album fotograficzny na 22 zdjęcia z kolekcji Tropical 16x16cm";Dziecko;Pokój wyposażenie;Dom > Wyposażenie i akcesoria;wyposazenie-i-akcesoria;2806817;OK
C2AT0063;8435497288099;"Segregator Stitch A4 z kolekcji Tropical 2 ringi, gumka Disney";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
AF100101506;8435497264949;"Disney Stitch Album fotograficzny na 100 zdjęć 10x15cm";Dziecko;Pokój wyposażenie;Dom > Wyposażenie i akcesoria;wyposazenie-i-akcesoria;2806817;OK
GUWMSSASLPI;;"Portfel Wallet Card Slot MagSafe magnetyczny Guess różowy";;;;;;BRAK W CSV
CM055160;840171743357;"Etui Mate Mini Travel Tote Bag Wodoodporna torba na ramię mydło Bubble";Sport i turystyka;Turystyka;Sport i turystyka > Sprzęt turystyczny;sprzet-turystyczny;2806620;OK
WK-WT-CA05;;"Odkurzacz bezprzewodowy WT CA05 K Captain samochodowy czarny";;;;;;BRAK W CSV
FECHMGLK;3666339170318;"Uchwyt magnetyczny MagSafe samochodowy z ładowaniem bezprzewodowym czarny";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
40243;8412497402434;"Pojemnik na żywność ze stali nierdzewnej 400ml, niebieski, szczelny";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
CSG0132;8435497289911;"Teczka Pusheen";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
CAT0139;8435497289898;"Segregator Uroczy Purrfect Love z 4 ringami Pusheen";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
CM052282;840171731927;"Portfel magnetyczny etui Mate MagSafe Floral Gems złote, skóra wegańska";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
BMBP15COMPVSKL;3666339239411;"Plecak niebieski Nylon na notebooka 16 Bmw czarny";Elektronika;Komputery;Elektronika i GSM > Etui i pokrowce > Do tabletów i laptopów;do-tabletow-i-laptopow;2805806;OK
GUWMSHG4SHK;;"Stojak Wallet Cardslot MagSafe 4G Classic Portfel magnetyczny z czarny";;;;;;BRAK W CSV
