ean;sku;name;wysokosc_opak_mm;glebokosc_opak_mm;szerokosc_opak_mm;waga_g;description
;1928728;LEGO CITY 60463 Wóz strażacki z drabiną;44;260;189;309;"Cechy Zalecany wiek: 4 lata+ Ilość elementów: 82 Typ produktu: Klocki do budowania Kolor produktu: Wielobarwny Seria: City Instrukcja obsługi: Tak Dane opakowania Wysokość opakowania: 44 mm Waga wraz z opakowaniem: 309 g Szerokość opakowania: 189 mm Wysokość produktu: 80 mm Głębokość opakowania: 260 mm Szerokość produktu: 70 mm Długość produktu: 240 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Zachowaj opakowanie, ponieważ zawiera ważne informacje. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami. Używać pod nadzorem osoby dorosłej."
;1928729;LEGO DUPLO TOWN 10445 Bolidy i kierowcy F1;280;76;537;921;"Cechy Ilość elementów: 70 Zalecany wiek: 2 lata+ Seria: DUPLO® Instrukcja: Tak Waga i rozmiary Głębokość produktu: 60 mm Szerokość produktu: 380 mm Wysokość produktu: 160 mm Dane opakowania Wysokość opakowania: 280 mm Szerokość opakowania: 537 mm Waga wraz z opakowaniem: 921 g Głębokość opakowania: 76 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Zachowaj opakowanie, ponieważ zawiera ważne informacje. Używać pod nadzorem osoby dorosłej. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami."
;1928736;LEGO Creator 31147 Aparat w stylu retro;188;45;260;408;"Cechy Seria: Creator Ilość elementów: 261 Zalecany wiek: 8 lat+ Instrukcja: Tak Waga i rozmiary Wysokość produktu: 70 mm Głębokość produktu: 80 mm Szerokość produktu: 130 mm Dane opakowania Waga wraz z opakowaniem: 408 g Wysokość opakowania: 188 mm Szerokość opakowania: 260 mm Głębokość opakowania: 45 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami. Używać pod nadzorem osoby dorosłej. Zachowaj opakowanie, ponieważ zawiera ważne informacje."
;1928737;LEGO DUPLO TOWN 10425 Tunel i tory kolejowe - zestaw rozszerzający;260;116;280;661;"Cechy Ilość elementów: 20 Seria: DUPLO® Instrukcja: Tak Zalecany wiek: 2 lata+ Waga i rozmiary Szerokość produktu: 160 mm Głębokość produktu: 150 mm Wysokość produktu: 200 mm Dane opakowania Głębokość opakowania: 116 mm Waga wraz z opakowaniem: 661 g Szerokość opakowania: 280 mm Wysokość opakowania: 260 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Zachowaj opakowanie, ponieważ zawiera ważne informacje. Używać pod nadzorem osoby dorosłej. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami."
;1928738;LEGO FRIENDS 42650 Sklep z akcesoriami dla zwierząt;191;61;205;579;"Cechy Instrukcja: Tak Ilość elementów: 375 Zalecany wiek: 6 lat+ Seria: Friends Liczba minifigurek do zabawy: 3 szt. Waga i rozmiary Szerokość produktu: 200 mm Wysokość produktu: 140 mm Głębokość produktu: 120 mm Dane opakowania Szerokość opakowania: 205 mm Głębokość opakowania: 61 mm Waga wraz z opakowaniem: 579 g Wysokość opakowania: 191 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Zachowaj opakowanie, ponieważ zawiera ważne informacje. Używać pod nadzorem osoby dorosłej. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami."
;1928740;LEGO Marvel 76327 Popiersie Iron Mana MK4;262;62;222;499;"Cechy Instrukcja: Tak Liczba minifigurek do zabawy: 1 szt. Seria: Marvel Ilość elementów: 436 Zalecany wiek: 18 lat+ Waga i rozmiary Wysokość produktu: 170 mm Głębokość produktu: 80 mm Szerokość produktu: 170 mm Dane opakowania Szerokość opakowania: 222 mm Głębokość opakowania: 62 mm Wysokość opakowania: 262 mm Waga wraz z opakowaniem: 499 g Ostrzeżenie bezpieczeństwa Ostrzeżenia Zachowaj opakowanie, ponieważ zawiera ważne informacje. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami. Używać pod nadzorem osoby dorosłej."
;1928744;LEGO Speed Champions 77243 Bolid F1 Oracle Red Bull Racing RB20;141;48;262;304;"Cechy Instrukcja: Tak Seria: Speed Champions Ilość elementów: 251 Liczba minifigurek do zabawy: 1 szt. Zalecany wiek: 18 lat+ Waga i rozmiary Szerokość produktu: 70 mm Wysokość produktu: 40 mm Głębokość produktu: 200 mm Dane opakowania Głębokość opakowania: 48 mm Waga wraz z opakowaniem: 304 g Wysokość opakowania: 141 mm Szerokość opakowania: 262 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Zachowaj opakowanie, ponieważ zawiera ważne informacje. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami. Używać pod nadzorem osoby dorosłej."
;1928748;LEGO BOTANICALS 40524 Słoneczniki;140;46;190;137;"Cechy Seria: Botanical Collection Instrukcja: Tak Ilość elementów: 191 Zalecany wiek: 8 lat+ Waga i rozmiary Wysokość produktu: 250 mm Dane opakowania Szerokość opakowania: 190 mm Wysokość opakowania: 140 mm Waga wraz z opakowaniem: 137 g Głębokość opakowania: 46 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami. Zachowaj opakowanie, ponieważ zawiera ważne informacje. Używać pod nadzorem osoby dorosłej."
;1928750;LEGO ICONS 10347 Botanicals - Mały bukiet żółtych kwiatów;262;61;191;328;"Cechy Ilość elementów: 373 Zalecany wiek: 9 lat+ Instrukcja: Tak Seria: LEGO® Icons Waga i rozmiary Szerokość produktu: 80 mm Głębokość produktu: 50 mm Wysokość produktu: 220 mm Dane opakowania Głębokość opakowania: 61 mm Wysokość opakowania: 262 mm Waga wraz z opakowaniem: 328 g Szerokość opakowania: 191 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Zachowaj opakowanie, ponieważ zawiera ważne informacje. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami. Używać pod nadzorem osoby dorosłej."
;1928751;LEGO DUPLO 10452 Wyprawa na biwak;191;91;262;428;"Cechy Liczba minifigurek do zabawy: 2 szt. Seria: DUPLO® Instrukcja: Tak Ilość elementów: 32 Zalecany wiek: 2 lata+ Waga i rozmiary Głębokość produktu: 40 mm Wysokość produktu: 140 mm Szerokość produktu: 100 mm Dane opakowania Waga wraz z opakowaniem: 428 g Głębokość opakowania: 91 mm Wysokość opakowania: 191 mm Szerokość opakowania: 262 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Zachowaj opakowanie, ponieważ zawiera ważne informacje. Używać pod nadzorem osoby dorosłej. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami."
;1928755;LEGO Harry Potter 76445 Zamek Hogwart: zajęcia z zielarstwa;222;62;262;555;"Cechy Zalecany wiek: 8 lat+ Seria: Harry Potter™ Liczba minifigurek do zabawy: 3 szt. Ilość elementów: 390 Instrukcja: Tak Waga i rozmiary Głębokość produktu: 130 mm Wysokość produktu: 120 mm Szerokość produktu: 130 mm Dane opakowania Wysokość opakowania: 222 mm Szerokość opakowania: 262 mm Waga wraz z opakowaniem: 555 g Głębokość opakowania: 62 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Używać pod nadzorem osoby dorosłej. Zachowaj opakowanie, ponieważ zawiera ważne informacje. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami."
;1928758;LEGO DUPLO TOWN 10447 Karetka z kierowcą;190;91;260;392;"Cechy Zalecany wiek: 2 lata+ Instrukcja: Tak Seria: DUPLO® Ilość elementów: 19 Waga i rozmiary Szerokość produktu: 70 mm Głębokość produktu: 140 mm Wysokość produktu: 100 mm Dane opakowania Głębokość opakowania: 91 mm Waga wraz z opakowaniem: 392 g Wysokość opakowania: 190 mm Szerokość opakowania: 260 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Zachowaj opakowanie, ponieważ zawiera ważne informacje. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami. Używać pod nadzorem osoby dorosłej."
;1928759;"LEGO Technic 42154 Ford GT, wersja z 2022 roku";70;280;130;;Cechy Seria: Technic Ilość elementów: 1466 Zalecany wiek: 18 lat+ Instrukcja: Tak Waga i rozmiary Głębokość produktu: 280 mm Wysokość produktu: 70 mm Szerokość produktu: 130 mm
;1928760;LEGO DISNEY PRINCESS 43270 Kajakowa przygoda Vaiany;279;59;259;657;"Cechy Instrukcja: Tak Ilość elementów: 529 Liczba minifigurek do zabawy: 3 szt. Zalecany wiek: 6 lat+ Seria: Disney Waga i rozmiary Wysokość produktu: 260 mm Szerokość produktu: 120 mm Głębokość produktu: 220 mm Dane opakowania Wysokość opakowania: 279 mm Szerokość opakowania: 259 mm Waga wraz z opakowaniem: 657 g Głębokość opakowania: 59 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Używać pod nadzorem osoby dorosłej. Zachowaj opakowanie, ponieważ zawiera ważne informacje. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami."
;1928763;LEGO Star Wars 75430 Ewok Wicket;380;92;260;;"Cechy Ilość elementów: 1010 Zalecany wiek: 12 lat+ Liczba minifigurek do zabawy: 1 szt. Seria: Star Wars™ Instrukcja: Tak Waga i rozmiary Wysokość produktu: 230 mm Dane opakowania Wysokość opakowania: 380 mm Szerokość opakowania: 260 mm Waga wraz z opakowaniem: 1,17 kg Głębokość opakowania: 92 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami. Zachowaj opakowanie, ponieważ zawiera ważne informacje. Używać pod nadzorem osoby dorosłej."
;1928764;LEGO NINJAGO 71836 Arcysmok skupienia;282;59;540;878;"Cechy Zalecany wiek: 9 lat+ Liczba minifigurek do zabawy: 8 szt. Ilość elementów: 869 Instrukcja: Tak Seria: NINJAGO® Waga i rozmiary Wysokość produktu: 270 mm Dane opakowania Szerokość opakowania: 540 mm Głębokość opakowania: 59 mm Wysokość opakowania: 282 mm Waga wraz z opakowaniem: 878 g Ostrzeżenie bezpieczeństwa Ostrzeżenia Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami. Zachowaj opakowanie, ponieważ zawiera ważne informacje. Używać pod nadzorem osoby dorosłej."
;1928766;LEGO CLASSIC 11040 Magiczny zestaw z przezroczystymi klockami;191;61;262;404;"Cechy Instrukcja: Tak Zalecany wiek: 5 lat+ Ilość elementów: 340 Seria: Classic Waga i rozmiary Szerokość produktu: 80 mm Wysokość produktu: 80 mm Dane opakowania Waga wraz z opakowaniem: 404 g Wysokość opakowania: 191 mm Szerokość opakowania: 262 mm Głębokość opakowania: 61 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Używać pod nadzorem osoby dorosłej. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami. Zachowaj opakowanie, ponieważ zawiera ważne informacje."
;1928767;LEGO MARVEL SUPER HEROES 76314 Kapitan Ameryka: Wojna bohaterów — bitwa;262;71;382;;"Cechy Liczba minifigurek do zabawy: 8 szt. Seria: Marvel Ilość elementów: 736 Zalecany wiek: 10 lat+ Instrukcja: Tak Waga i rozmiary Wysokość produktu: 240 mm Szerokość produktu: 170 mm Dane opakowania Waga wraz z opakowaniem: 1 kg Szerokość opakowania: 382 mm Wysokość opakowania: 262 mm Głębokość opakowania: 71 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Zachowaj opakowanie, ponieważ zawiera ważne informacje. Używać pod nadzorem osoby dorosłej. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami."
;1928768;LEGO Koci domek Gabi 11205 Łakociowa Góra i Kiciowy Ogródek;262;76;282;586;"Cechy Instrukcja: Tak Ilość elementów: 263 Zalecany wiek: 4 lata+ Liczba minifigurek do zabawy: 3 szt. Waga i rozmiary Wysokość produktu: 170 mm Głębokość produktu: 90 mm Szerokość produktu: 190 mm Dane opakowania Szerokość opakowania: 282 mm Waga wraz z opakowaniem: 586 g Wysokość opakowania: 262 mm Głębokość opakowania: 76 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami. Zachowaj opakowanie, ponieważ zawiera ważne informacje. Używać pod nadzorem osoby dorosłej."
;1928769;LEGO 40817 Żółta walizka podróżna;190;60;140;248;"Cechy Ilość elementów: 184 Zalecany wiek: 7 lat+ Seria: Seasons and occasion Instrukcja: Tak Waga i rozmiary Głębokość produktu: 40 mm Wysokość produktu: 100 mm Szerokość produktu: 90 mm Dane opakowania Waga wraz z opakowaniem: 248 g Głębokość opakowania: 60 mm Wysokość opakowania: 190 mm Szerokość opakowania: 140 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Używać pod nadzorem osoby dorosłej. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami. Zachowaj opakowanie, ponieważ zawiera ważne informacje."
;1928771;LEGO MINECRAFT 21267 Pustynny patrol złosadników;138;45;190;167;"Cechy Liczba minifigurek do zabawy: 4 szt. Seria: Minecraft® Ilość elementów: 105 Instrukcja: Tak Zalecany wiek: 7 lat+ Waga i rozmiary Głębokość produktu: 60 mm Wysokość produktu: 80 mm Szerokość produktu: 110 mm Dane opakowania Głębokość opakowania: 45 mm Wysokość opakowania: 138 mm Waga wraz z opakowaniem: 167 g Szerokość opakowania: 190 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Zachowaj opakowanie, ponieważ zawiera ważne informacje. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami. Używać pod nadzorem osoby dorosłej."
;1928775;LEGO Harry Potter 76448 Fawkes: feniks Dumbledore'a;260;58;138;313;"Cechy Instrukcja: Tak Seria: Harry Potter™ Zalecany wiek: 8 lat+ Ilość elementów: 299 Waga i rozmiary Wysokość produktu: 160 mm Dane opakowania Wysokość opakowania: 260 mm Szerokość opakowania: 138 mm Głębokość opakowania: 58 mm Waga wraz z opakowaniem: 313 g Ostrzeżenie bezpieczeństwa Ostrzeżenia Zachowaj opakowanie, ponieważ zawiera ważne informacje. Używać pod nadzorem osoby dorosłej. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami."
;1928779;LEGO BOTANICALS 40725 Kwiaty wiśni;189;44;139;171;"Cechy Zalecany wiek: 8 lat+ Seria: Botanical Collection Instrukcja: Tak Ilość elementów: 430 Waga i rozmiary Wysokość produktu: 350 mm Dane opakowania Szerokość opakowania: 139 mm Wysokość opakowania: 189 mm Waga wraz z opakowaniem: 171 g Głębokość opakowania: 44 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Zachowaj opakowanie, ponieważ zawiera ważne informacje. Używać pod nadzorem osoby dorosłej. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami."
;1928783;LEGO FRIENDS 42644 Furgonetka z lodami w mieście Heartlake;191;46;262;302;"Cechy Ilość elementów: 92 Zalecany wiek: 4 lata+ Liczba minifigurek do zabawy: 2 szt. Instrukcja: Tak Seria: Friends Waga i rozmiary Głębokość produktu: 130 mm Wysokość produktu: 80 mm Szerokość produktu: 70 mm Dane opakowania Głębokość opakowania: 46 mm Waga wraz z opakowaniem: 302 g Szerokość opakowania: 262 mm Wysokość opakowania: 191 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami. Zachowaj opakowanie, ponieważ zawiera ważne informacje. Używać pod nadzorem osoby dorosłej."
;1928784;LEGO CITY 60443 F1 Pit stop i mechanicy z bolidem Ferrari;354;59;191;566;"Cechy Seria: City Ilość elementów: 322 Instrukcja: Tak Zalecany wiek: 6 lat+ Liczba minifigurek do zabawy: 5 szt. Waga i rozmiary Szerokość produktu: 140 mm Wysokość produktu: 80 mm Głębokość produktu: 50 mm Dane opakowania Waga wraz z opakowaniem: 566 g Wysokość opakowania: 354 mm Głębokość opakowania: 59 mm Szerokość opakowania: 191 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Zachowaj opakowanie, ponieważ zawiera ważne informacje. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami. Używać pod nadzorem osoby dorosłej."
;1928786;LEGO 76785 Wednesday - Mieszkanie Rączki;262;61;191;367;"Cechy Ilość elementów: 828 Liczba minifigurek do zabawy: 1 szt. Zalecany wiek: 10 lat+ Instrukcja: Tak Waga i rozmiary Wysokość produktu: 130 mm Szerokość produktu: 230 mm Głębokość produktu: 110 mm Dane opakowania Szerokość opakowania: 191 mm Wysokość opakowania: 262 mm Waga wraz z opakowaniem: 367 g Głębokość opakowania: 61 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Zachowaj opakowanie, ponieważ zawiera ważne informacje. Używać pod nadzorem osoby dorosłej. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami."
;1928787;LEGO DUPLO  10412 Pociąg ze zwierzątkami;191;70;354;;"Cechy Zalecany wiek: 1,5 roku+ Ilość elementów: 19 Instrukcja: Tak Seria: DUPLO® Waga i rozmiary Głębokość produktu: 430 mm Szerokość produktu: 60 mm Wysokość produktu: 170 mm Dane opakowania Głębokość opakowania: 70 mm Wysokość opakowania: 191 mm Szerokość opakowania: 354 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami. Używać pod nadzorem osoby dorosłej. Zachowaj opakowanie, ponieważ zawiera ważne informacje."
;1928788;LEGO Creator 31145 Czerwony smok;140;46;190;186;"Cechy Ilość elementów: 149 Instrukcja: Tak Seria: Creator Zalecany wiek: 6 lat+ Waga i rozmiary Wysokość produktu: 120 mm Dane opakowania Waga wraz z opakowaniem: 186 g Szerokość opakowania: 190 mm Wysokość opakowania: 140 mm Głębokość opakowania: 46 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami. Zachowaj opakowanie, ponieważ zawiera ważne informacje. Używać pod nadzorem osoby dorosłej."
;1928789;LEGO ICONS 10328 Bukiet róż;380;70;260;822;"Cechy Seria: LEGO® Icons Zalecany wiek: 18 lat+ Instrukcja: Tak Ilość elementów: 822 Waga i rozmiary Wysokość produktu: 310 mm Dane logistyczne Waga wraz z opakowaniem: 822 g Wysokość opakowania: 380 mm Szerokość opakowania: 260 mm Głębokość opakowania: 70 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami. Używać pod nadzorem osoby dorosłej. Zachowaj opakowanie, ponieważ zawiera ważne informacje."
;1928791;LEGO CREATOR 3w1 31163 Psotny kot;191;61;262;510;"Cechy Zalecany wiek: 8 lat+ Instrukcja: Tak Ilość elementów: 407 Seria: Creator Waga i rozmiary Głębokość produktu: 150 mm Wysokość produktu: 80 mm Szerokość produktu: 150 mm Dane opakowania Waga wraz z opakowaniem: 510 g Szerokość opakowania: 262 mm Głębokość opakowania: 61 mm Wysokość opakowania: 191 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Zachowaj opakowanie, ponieważ zawiera ważne informacje. Używać pod nadzorem osoby dorosłej. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami."
